Name;Web of Science Documents;Category Normalized Citation Impact;Times Cited;Highly Cited Papers;Publication Year
1 NATURAL SCIENCES;61;0,48;625;0;1980
1 NATURAL SCIENCES;72;0,45;792;0;1981
1 NATURAL SCIENCES;106;0,58;1498;0;1982
1 NATURAL SCIENCES;121;0,29;875;0;1983
1 NATURAL SCIENCES;129;0,39;1309;0;1984
1 NATURAL SCIENCES;159;0,31;1271;0;1985
1 NATURAL SCIENCES;203;0,44;2409;0;1986
1 NATURAL SCIENCES;185;0,36;1789;0;1987
1 NATURAL SCIENCES;199;0,53;2892;0;1988
1 NATURAL SCIENCES;213;0,55;3195;0;1989
1 NATURAL SCIENCES;226;0,94;6111;0;1990
1 NATURAL SCIENCES;260;0,54;4106;0;1991
1 NATURAL SCIENCES;286;0,70;6020;0;1992
1 NATURAL SCIENCES;381;0,73;8550;0;1993
1 NATURAL SCIENCES;393;0,76;9058;0;1994
1 NATURAL SCIENCES;430;0,86;11954;0;1995
1 NATURAL SCIENCES;441;0,86;12508;0;1996
1 NATURAL SCIENCES;468;0,70;10930;0;1997
1 NATURAL SCIENCES;524;0,80;14900;0;1998
1 NATURAL SCIENCES;600;0,96;19805;0;1999
1 NATURAL SCIENCES;599;0,93;20786;0;2000
1 NATURAL SCIENCES;567;0,88;17883;0;2001
1 NATURAL SCIENCES;583;0,79;16316;0;2002
1 NATURAL SCIENCES;717;0,82;20887;0;2003
1 NATURAL SCIENCES;693;0,90;25211;0;2004
1 NATURAL SCIENCES;735;0,79;19795;0;2005
1 NATURAL SCIENCES;807;1,06;27048;0;2006
1 NATURAL SCIENCES;843;1,02;27602;0;2007
1 NATURAL SCIENCES;900;0,97;30208;0;2008
1 NATURAL SCIENCES;974;1,12;30549;15;2009
1 NATURAL SCIENCES;1024;1,17;35457;17;2010
1 NATURAL SCIENCES;1283;1,25;37682;15;2011
1 NATURAL SCIENCES;1435;1,52;51127;26;2012
1 NATURAL SCIENCES;1330;1,21;29732;23;2013
1 NATURAL SCIENCES;1485;1,85;48425;51;2014
1 NATURAL SCIENCES;1495;1,38;27752;40;2015
1 NATURAL SCIENCES;1517;2,18;32940;44;2016
1 NATURAL SCIENCES;1397;1,28;12221;27;2017
1 NATURAL SCIENCES;1485;1,64;9474;46;2018
1 NATURAL SCIENCES;1443;1,40;1554;20;2019
1.01 Mathematics;6;0,42;49;0;1980
1.01 Mathematics;4;0,12;9;0;1981
1.01 Mathematics;6;1,48;184;0;1982
1.01 Mathematics;14;0,24;64;0;1983
1.01 Mathematics;12;0,96;213;0;1984
1.01 Mathematics;23;0,73;272;0;1985
1.01 Mathematics;21;0,77;332;0;1986
1.01 Mathematics;21;0,41;176;0;1987
1.01 Mathematics;19;0,96;357;0;1988
1.01 Mathematics;24;1,87;818;0;1989
1.01 Mathematics;21;0,99;374;0;1990
1.01 Mathematics;34;0,72;430;0;1991
1.01 Mathematics;25;0,61;301;0;1992
1.01 Mathematics;56;0,55;572;0;1993
1.01 Mathematics;47;0,56;531;0;1994
1.01 Mathematics;90;0,53;1004;0;1995
1.01 Mathematics;70;1,69;2344;0;1996
1.01 Mathematics;99;1,01;1902;0;1997
1.01 Mathematics;101;1,49;3151;0;1998
1.01 Mathematics;133;1,17;3282;0;1999
1.01 Mathematics;123;1,29;3330;0;2000
1.01 Mathematics;135;0,80;2194;0;2001
1.01 Mathematics;116;0,67;1529;0;2002
1.01 Mathematics;124;0,87;2092;0;2003
1.01 Mathematics;136;0,87;2712;0;2004
