Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Total;Total;Total;271.225
Total;Total;Nacidos en España;41.708
Total;Total;Nacidos en la UE27_2020;65.039
Total;Total;Nacidos en el resto de Europa;26.451
Total;Total;Nacidos en África;43.683
Total;Total;Nacidos en América;74.563
Total;Total;Nacidos en Asia;19.388
Total;Total;Nacidos en Oceanía;393
Total;Españoles;Total;51.699
Total;Españoles;Nacidos en España;32.502
Total;Españoles;Nacidos en la UE27_2020;1.035
Total;Españoles;Nacidos en el resto de Europa;738
Total;Españoles;Nacidos en África;4.072
Total;Españoles;Nacidos en América;11.977
Total;Españoles;Nacidos en Asia;1.345
Total;Españoles;Nacidos en Oceanía;30
Total;Extranjeros;Total;219.526
Total;Extranjeros;Nacidos en España;9.206
Total;Extranjeros;Nacidos en la UE27_2020;64.004
Total;Extranjeros;Nacidos en el resto de Europa;25.713
Total;Extranjeros;Nacidos en África;39.611
Total;Extranjeros;Nacidos en América;62.586
Total;Extranjeros;Nacidos en Asia;18.043
Total;Extranjeros;Nacidos en Oceanía;363
ANDALUCÍA;Total;Total;38.468
ANDALUCÍA;Total;Nacidos en España;6.206
ANDALUCÍA;Total;Nacidos en la UE27_2020;8.982
ANDALUCÍA;Total;Nacidos en el resto de Europa;6.166
ANDALUCÍA;Total;Nacidos en África;8.517
ANDALUCÍA;Total;Nacidos en América;6.951
ANDALUCÍA;Total;Nacidos en Asia;1.571
ANDALUCÍA;Total;Nacidos en Oceanía;75
ANDALUCÍA;Españoles;Total;6.713
ANDALUCÍA;Españoles;Nacidos en España;4.680
ANDALUCÍA;Españoles;Nacidos en la UE27_2020;176
ANDALUCÍA;Españoles;Nacidos en el resto de Europa;105
ANDALUCÍA;Españoles;Nacidos en África;559
ANDALUCÍA;Españoles;Nacidos en América;1.078
ANDALUCÍA;Españoles;Nacidos en Asia;113
ANDALUCÍA;Españoles;Nacidos en Oceanía;2
ANDALUCÍA;Extranjeros;Total;31.755
ANDALUCÍA;Extranjeros;Nacidos en España;1.526
ANDALUCÍA;Extranjeros;Nacidos en la UE27_2020;8.806
ANDALUCÍA;Extranjeros;Nacidos en el resto de Europa;6.061
ANDALUCÍA;Extranjeros;Nacidos en África;7.958
ANDALUCÍA;Extranjeros;Nacidos en América;5.873
ANDALUCÍA;Extranjeros;Nacidos en Asia;1.458
ANDALUCÍA;Extranjeros;Nacidos en Oceanía;73
Almería;Total;Total;8.191
Almería;Total;Nacidos en España;837
Almería;Total;Nacidos en la UE27_2020;1.846
Almería;Total;Nacidos en el resto de Europa;1.263
Almería;Total;Nacidos en África;3.204
Almería;Total;Nacidos en América;856
Almería;Total;Nacidos en Asia;181
Almería;Total;Nacidos en Oceanía;4
Almería;Españoles;Total;743
Almería;Españoles;Nacidos en España;423
Almería;Españoles;Nacidos en la UE27_2020;18
Almería;Españoles;Nacidos en el resto de Europa;6
Almería;Españoles;Nacidos en África;117
Almería;Españoles;Nacidos en América;151
Almería;Españoles;Nacidos en Asia;28
Almería;Españoles;Nacidos en Oceanía;0
Almería;Extranjeros;Total;7.448
Almería;Extranjeros;Nacidos en España;414
Almería;Extranjeros;Nacidos en la UE27_2020;1.828
Almería;Extranjeros;Nacidos en el resto de Europa;1.257
Almería;Extranjeros;Nacidos en África;3.087
Almería;Extranjeros;Nacidos en América;705
Almería;Extranjeros;Nacidos en Asia;153
Almería;Extranjeros;Nacidos en Oceanía;4
Cádiz;Total;Total;2.644
Cádiz;Total;Nacidos en España;829
Cádiz;Total;Nacidos en la UE27_2020;369
Cádiz;Total;Nacidos en el resto de Europa;206
Cádiz;Total;Nacidos en África;629
Cádiz;Total;Nacidos en América;546
Cádiz;Total;Nacidos en Asia;62
Cádiz;Total;Nacidos en Oceanía;3
Cádiz;Españoles;Total;930
Cádiz;Españoles;Nacidos en España;760
Cádiz;Españoles;Nacidos en la UE27_2020;25
Cádiz;Españoles;Nacidos en el resto de Europa;14
Cádiz;Españoles;Nacidos en África;51
Cádiz;Españoles;Nacidos en América;77
Cádiz;Españoles;Nacidos en Asia;3
Cádiz;Españoles;Nacidos en Oceanía;0
Cádiz;Extranjeros;Total;1.714
Cádiz;Extranjeros;Nacidos en España;69
Cádiz;Extranjeros;Nacidos en la UE27_2020;344
Cádiz;Extranjeros;Nacidos en el resto de Europa;192
Cádiz;Extranjeros;Nacidos en África;578
Cádiz;Extranjeros;Nacidos en América;469
Cádiz;Extranjeros;Nacidos en Asia;59
